model,sample_size,solver,OLS_error_quad,error_quad,fo_value,time,time_process,n_betas,status,tau,kappa,alpha,theta
CG_SOC1_ElasticNet,500,MOSEK,0.329540164107406,0.7169766747288349,1.871897933775454,0.40884693066279093,0.5809895833333333,116,converged,0.329540164107406,0.329540164107406,1.0,0.00042204472398131565
SOCP,1000,MOSEK,0.07399280178672782,3228.9245918181427,3372.847321517359,0.866518759727478,0.8661458333333333,744,converged,13.514828143450181,13.514828143450181,1.0,82351913.09865497
CG_SOC1_ElasticNet,1000,MOSEK,0.07399280178672782,3485.771049747496,3504.0112186981714,0.11882375876108806,0.190625,74,converged,13.514828143450181,13.514828143450181,1.0,82351913.09865497
SOCP,1000,MOSEK,0.07399280178672782,1.6632830374224488,31.562862995169628,0.8768812537193298,0.8510416666666667,143,converged,13.514828143450181,13.514828143450181,1.0,182.6505797469931
CG_SOC1_ElasticNet,1000,MOSEK,0.07399280178672782,1.6179441255279954,31.6201698544435,0.4592885414759318,0.6315104166666666,99,converged,13.514828143450181,13.514828143450181,1.0,182.6505797469931
SOCP,1000,MOSEK,0.07399280178672782,1.4038947861186732,29.703115182861104,0.8527436852455139,0.8361979166666667,56,converged,13.514828143450181,13.514828143450181,1.0,0.0054749347162499915
CG_SOC1_ElasticNet,1000,MOSEK,0.07399280178672782,1.4038589373117278,29.703116684342547,0.22860876321792603,0.35,54,converged,13.514828143450181,13.514828143450181,1.0,0.0054749347162499915
SOCP,1000,MOSEK,0.07399280178672782,1.4039359294791198,29.702986432517047,0.8516567508379619,0.8442708333333333,59,converged,13.514828143450181,13.514828143450181,1.0,1.2143008733774429e-08
CG_SOC1_ElasticNet,1000,MOSEK,0.07399280178672782,1.4039077670690834,29.702987250915257,0.3763879656791687,0.5322916666666667,55,converged,13.514828143450181,13.514828143450181,1.0,1.2143008733774429e-08
SOCP,1000,MOSEK,0.07399280178672782,3227.6289201098357,3371.4759449866006,0.8555473446846008,0.8401041666666667,744,converged,1.0,1.0,1.0,82351913.09865497
CG_SOC1_ElasticNet,1000,MOSEK,0.07399280178672782,3487.379241318323,3504.6962683001284,0.11707800626754761,0.1921875,73,converged,1.0,1.0,1.0,82351913.09865497
SOCP,1000,MOSEK,0.07399280178672782,0.7362274186371085,4.024252083519166,0.8688851873079936,0.8421875,291,converged,1.0,1.0,1.0,182.6505797469931
CG_SOC1_ElasticNet,1000,MOSEK,0.07399280178672782,0.7726978476275531,4.250073666586688,0.471663224697113,0.6471354166666666,159,converged,1.0,1.0,1.0,182.6505797469931
SOCP,1000,MOSEK,0.07399280178672782,0.5240719094107682,2.8715853149841397,0.8505574067433676,0.83828125,111,converged,1.0,1.0,1.0,0.0054749347162499915
CG_SOC1_ElasticNet,1000,MOSEK,0.07399280178672782,0.5240877419127337,2.87158587199694,0.5282333771387736,0.6604166666666667,107,converged,1.0,1.0,1.0,0.0054749347162499915
SOCP,1000,MOSEK,0.07399280178672782,0.5240825661237435,2.871500486287088,0.8705608248710632,0.8578125,110,converged,1.0,1.0,1.0,1.2143008733774429e-08
CG_SOC1_ElasticNet,1000,MOSEK,0.07399280178672782,0.5240905996881676,2.871500488066906,0.6144402424494425,0.8088541666666667,107,converged,1.0,1.0,1.0,1.2143008733774429e-08
SOCP,1000,MOSEK,0.07399280178672782,3227.5309661640126,3371.3837252078556,0.8513952056566875,0.8385416666666666,744,converged,0.07399280178672782,0.07399280178672782,1.0,82351913.09865497
CG_SOC1_ElasticNet,1000,MOSEK,0.07399280178672782,3488.834559597141,3505.380390779434,0.11827235619227092,0.19114583333333332,68,converged,0.07399280178672782,0.07399280178672782,1.0,82351913.09865497
SOCP,1000,MOSEK,0.07399280178672782,0.44703117898802963,1.378857550278711,0.8846207777659099,0.8528645833333334,526,converged,0.07399280178672782,0.07399280178672782,1.0,182.6505797469931
CG_SOC1_ElasticNet,1000,MOSEK,0.07399280178672782,0.5863902984591095,1.7942660023606336,0.9472192128499349,1.2059895833333334,190,converged,0.07399280178672782,0.07399280178672782,1.0,182.6505797469931
SOCP,1000,MOSEK,0.07399280178672782,0.16871236263190922,0.4392116148794044,0.855478572845459,0.8390625,242,converged,0.07399280178672782,0.07399280178672782,1.0,0.0054749347162499915
CG_SOC1_ElasticNet,1000,MOSEK,0.07399280178672782,0.16871279070883344,0.439211637273679,1.5469090501467386,1.8057291666666666,242,converged,0.07399280178672782,0.07399280178672782,1.0,0.0054749347162499915
SOCP,1000,MOSEK,0.07399280178672782,0.16870459024758397,0.4391191395178387,0.8616583228111268,0.8421875,241,converged,0.07399280178672782,0.07399280178672782,1.0,1.2143008733774429e-08
CG_SOC1_ElasticNet,1000,MOSEK,0.07399280178672782,0.1687040858439489,0.43911915437983934,2.059563910961151,2.328125,242,converged,0.07399280178672782,0.07399280178672782,1.0,1.2143008733774429e-08
